01020310071456,818025965962,23/04/2024,£825.45,Income
01020310071456,604785527389,08/05/2024,£702.69,Expense
01020310071456,403344365378,08/07/2024,£244.87,Expense
01020310071456,962045088286,22/04/2024,£178.56,Expense
01020310071456,613203760897,16/02/2024,£623.97,Income
01020310071456,651178567352,31/08/2024,£569.19,Income
01020310071456,689420520308,22/12/2024,£359.68,Expense
01020310071456,868024419335,18/06/2024,£557.66,Expense
01020310071456,479239130456,18/12/2024,£791.23,Expense
01020310071456,671036659293,02/12/2024,£831.72,Expense
01020310071456,758359707577,12/10/2024,£692.11,Income
01020310071456,280757024706,23/05/2024,£512.91,Expense
01020310071456,581237632596,24/06/2024,£775.00,Expense
01020310071456,403187014292,19/07/2024,£347.64,Expense
01020310071456,959550569420,13/06/2024,£350.15,Income
01020310071456,403981279994,05/06/2024,£807.98,Income
01020310071456,486092887375,28/11/2024,£701.33,Income
01020310071456,759099155058,08/02/2024,£435.22,Expense
01020310071456,611594929012,15/05/2024,£261.91,Expense
01020310071456,744875503736,29/04/2024,£736.10,Income
01020310071456,684956878866,07/06/2024,£251.86,Expense
01020310071456,498263461345,30/01/2024,£471.44,Expense
01020310071456,766510266699,07/10/2024,£417.93,Income
01020310071456,625283828673,30/12/2024,£67.08,Income
01020310071456,436381322048,19/05/2024,£181.89,Expense
01020310071456,504564785712,29/10/2024,£377.56,Income
01020310071456,867180290850,02/12/2024,£763.13,Income
01020310071456,529570983123,09/06/2024,£346.27,Expense
01020310071456,494705941227,13/09/2024,£817.81,Expense
01020310071456,607997674154,21/07/2024,£375.97,Expense
01020310071456,300248878617,13/07/2024,£178.15,Income
01020310071456,681811310437,05/11/2024,£443.70,Expense
01020310071456,776122545519,17/05/2024,£173.77,Income
01020310071456,945253060851,25/07/2024,£951.03,Expense
01020310071456,624662106897,29/12/2024,£838.79,Income
01020310071456,367885942199,17/02/2024,£876.00,Expense
01020310071456,333018487405,25/05/2024,£335.03,Income
01020310071456,958472389390,10/10/2024,£352.54,Expense
01020310071456,159664519446,24/10/2024,£873.71,Income
01020310071456,175035911455,10/10/2024,£303.09,Income
01020310071456,276488777674,08/12/2024,£149.53,Income
01020310071456,819790851560,10/12/2024,£294.00,Income
01020310071456,248735939430,08/10/2024,£972.03,Expense
01020310071456,687091092323,02/05/2024,£628.04,Income
01020310071456,848908687487,28/03/2024,£167.48,Expense
01020310071456,312673207611,14/08/2024,£944.88,Income
01020310071456,902545685383,24/05/2024,£6.57,Expense
01020310071456,304843030104,01/12/2024,£257.80,Expense
01020310071456,853548396075,28/03/2024,£114.39,Expense
01020310071456,267693230125,25/12/2024,£41.44,Expense
