04050712233221,240883419956,01/03/2024,£759.64,Income
04050712233221,141339947868,09/11/2024,£515.87,Expense
04050712233221,853930622146,04/04/2024,£814.04,Expense
04050712233221,293124280650,23/04/2024,£859.47,Income
04050712233221,278208418031,29/03/2024,£695.74,Expense
04050712233221,652442201140,31/07/2024,£327.38,Expense
04050712233221,823706097047,27/01/2024,£354.07,Expense
04050712233221,974734931581,18/07/2024,£3.74,Expense
04050712233221,143523498597,06/06/2024,£873.08,Income
04050712233221,234251499597,09/04/2024,£413.83,Expense
04050712233221,449384193964,23/09/2024,£887.80,Income
04050712233221,591139508074,30/12/2024,£578.07,Income
04050712233221,142903071975,18/09/2024,£216.92,Income
04050712233221,948411828332,05/07/2024,£483.53,Income
